,Year,Team 1,Team 1 rank,Team 1 Score,Team 2,Team 2 rank,Team 2 Score,Result,country,world_cup
0,1946,New Zealand,2.0,31,Australia,7.0,8,New Zealand,New Zealand,False
1,1946,New Zealand,2.0,14,Australia,7.0,10,New Zealand,New Zealand,False
16,1947,Wales,3.0,6,Australia,5.0,0,Wales,Wales,False
15,1947,Ireland,6.0,3,Australia,5.0,16,Ireland,Ireland,False
14,1947,Scotland,8.0,7,Australia,7.0,16,Scotland,Scotland,False
13,1947,Australia,7.0,14,New Zealand,2.0,27,Australia,Australia,False
12,1947,Australia,7.0,5,New Zealand,2.0,13,Australia,Australia,False
10,1947,Wales,3.0,6,Ireland,5.0,0,Wales,Wales,False
9,1947,France,6.0,0,Wales,3.0,3,Wales,France,False
11,1947,England,4.0,6,France,6.0,3,England,England,False
7,1947,Scotland,8.0,0,Ireland,4.0,3,Ireland,Scotland,False
6,1947,Ireland,6.0,22,England,4.0,0,Ireland,Ireland,False
5,1947,Scotland,8.0,8,Wales,4.0,22,Scotland,Scotland,False
4,1947,Ireland,6.0,8,France,4.0,12,Ireland,Ireland,False
3,1947,Wales,4.0,6,England,3.0,9,Wales,Wales,False
2,1947,France,5.0,8,Scotland,8.0,3,France,France,False
8,1947,England,3.0,24,Scotland,8.0,5,England,England,False
24,1948,Scotland,8.0,9,France,7.0,8,Scotland,Scotland,False
28,1948,France,5.0,15,England,7.0,0,France,France,False
27,1948,Scotland,8.0,6,England,7.0,3,Scotland,Scotland,False
26,1948,Ireland,3.0,6,Wales,4.0,3,Ireland,Ireland,False
25,1948,Ireland,4.0,6,Scotland,8.0,0,Ireland,Ireland,False
23,1948,Wales,3.0,3,France,7.0,11,Wales,Wales,False
18,1948,England,4.0,0,Australia,5.0,11,Australia,England,False
21,1948,Wales,3.0,14,Scotland,8.0,0,Wales,Wales,False
20,1948,England,4.0,3,Wales,3.0,3,Draw,England,False
19,1948,France,6.0,13,Australia,7.0,6,France,France,False
17,1948,France,7.0,6,Ireland,5.0,13,France,France,False
22,1948,England,5.0,10,Ireland,4.0,11,England,England,False
40,1949,South Africa,1.0,12,New Zealand,2.0,6,South Africa,South Africa,False
46,1949,New Zealand,5.0,9,Australia,3.0,16,New Zealand,New Zealand,False
45,1949,South Africa,1.0,11,New Zealand,3.0,8,South Africa,South Africa,False
44,1949,Argentina,7.0,3,France,4.0,12,Argentina,Argentina,False
43,1949,New Zealand,3.0,6,Australia,5.0,11,New Zealand,New Zealand,False
42,1949,South Africa,1.0,9,New Zealand,3.0,3,South Africa,South Africa,False
41,1949,Argentina,5.0,0,France,4.0,5,France,Argentina,False
38,1949,France,5.0,5,Wales,9.0,3,France,France,False
39,1949,South Africa,1.0,15,New Zealand,2.0,11,South Africa,South Africa,False
36,1949,Wales,5.0,0,Ireland,3.0,5,Ireland,Wales,False
37,1949,England,6.0,19,Scotland,10.0,3,England,England,False
35,1949,Scotland,8.0,3,Ireland,3.0,13,Scotland,Scotland,False
34,1949,England,10.0,8,France,9.0,3,England,England,False
33,1949,Ireland,3.0,14,England,10.0,5,Ireland,Ireland,False
32,1949,Scotland,7.0,6,Wales,5.0,5,Scotland,Scotland,False
31,1949,Ireland,4.0,9,France,6.0,16,Ireland,Ireland,False
30,1949,Wales,4.0,9,England,10.0,3,Wales,Wales,False
29,1949,France,8.0,0,Scotland,9.0,8,Scotland,France,False
56,1950,Wales,2.0,21,France,6.0,0,Wales,Wales,False
55,1950,Scotland,9.0,13,England,10.0,11,Scotland,Scotland,False
54,1950,Ireland,6.0,3,Wales,3.0,6,Ireland,Ireland,False
53,1950,Ireland,2.0,21,Scotland,10.0,0,Ireland,Ireland,False
52,1950,France,4.0,6,England,9.0,3,France,France,False
51,1950,England,7.0,3,Ireland,3.0,0,England,England,False
50,1950,Wales,6.0,12,Scotland,10.0,0,Wales,Wales,False
49,1950,France,5.0,3,Ireland,2.0,3,Draw,France,False
48,1950,England,10.0,5,Wales,6.0,11,England,England,False
47,1950,Scotland,9.0,8,France,5.0,5,Scotland,Scotland,False
71,1951,Ireland,3.0,5,South Africa,1.0,17,Ireland,Ireland,False
72,1951,Wales,5.0,3,South Africa,1.0,6,Wales,Wales,False
70,1951,Scotland,9.0,0,South Africa,1.0,44,South Africa,Scotland,False
69,1951,Australia,6.0,6,New Zealand,2.0,16,Australia,Australia,False
68,1951,Australia,6.0,11,New Zealand,2.0,17,Australia,Australia,False
67,1951,Australia,5.0,0,New Zealand,3.0,8,New Zealand,Australia,False
66,1951,France,4.0,8,Wales,6.0,3,France,France,False
65,1951,England,10.0,5,Scotland,9.0,3,England,England,False
58,1951,Wales,2.0,23,England,10.0,5,Wales,Wales,False
63,1951,Scotland,9.0,5,Ireland,2.0,6,Scotland,Scotland,False
62,1951,England,10.0,3,France,6.0,11,England,England,False
61,1951,Ireland,2.0,3,England,10.0,0,Ireland,Ireland,False
60,1951,Scotland,7.0,19,Wales,5.0,0,Scotland,Scotland,False
59,1951,Ireland,3.0,9,France,6.0,8,Ireland,Ireland,False
57,1951,France,6.0,14,Scotland,10.0,12,France,France,False
64,1951,Wales,4.0,3,Ireland,2.0,3,Draw,Wales,False
81,1952,Scotland,10.0,3,England,9.0,19,Scotland,Scotland,False
86,1952,New Zealand,3.0,9,Australia,6.0,14,New Zealand,New Zealand,False
85,1952,Italy,9.0,8,France,6.0,17,Italy,Italy,False
84,1952,France,7.0,3,England,5.0,6,France,France,False
83,1952,England,6.0,3,Ireland,4.0,0,England,England,False
82,1952,Wales,3.0,9,France,5.0,5,Wales,Wales,False
80,1952,Ireland,4.0,3,Wales,3.0,14,Ireland,Ireland,False
87,1952,New Zealand,3.0,15,Australia,7.0,8,New Zealand,New Zealand,False
78,1952,England,9.0,6,Wales,4.0,8,England,England,False
