,date,National Team,Rating
0,1871-03-27,Scotland,81.0
1,1872-02-05,Scotland,79.8
2,1873-03-03,Scotland,79.84
3,1874-02-23,Scotland,78.872
4,1875-02-15,Scotland,78.872
5,1875-03-08,Scotland,79.18632
6,1875-12-13,Scotland,79.18632
7,1876-03-06,Scotland,78.5118952
8,1877-02-05,Scotland,78.5118952
9,1877-02-19,Scotland,79.445315368
10,1877-03-05,Scotland,80.8649846232
11,1878-03-04,Scotland,81.00072002736
12,1878-03-11,Scotland,81.00072002736
13,1879-02-17,Scotland,81.54365496131041
14,1879-03-10,Scotland,81.64621052575697
15,1879-03-24,Scotland,81.64621052575697
16,1880-01-30,Scotland,81.64621052575697
17,1880-02-14,Scotland,82.00873428742412
18,1880-02-28,Scotland,81.11609499186316
19,1881-02-10,Scotland,81.11609499186316
20,1881-02-19,Scotland,79.48603849321913
21,1881-03-19,Scotland,80.00358839414149
22,1882-01-28,Scotland,80.00358839414149
23,1882-02-06,Scotland,80.00358839414149
24,1882-02-18,Scotland,80.6614234750744
25,1882-03-04,Scotland,81.92565712774066
26,1882-12-16,Scotland,81.92565712774066
27,1883-01-08,Scotland,82.6634507945159
28,1883-02-10,Scotland,82.6634507945159
29,1883-02-17,Scotland,82.95874153563499
30,1883-03-03,Scotland,81.97830646917745
31,1884-01-05,Scotland,81.97830646917745
32,1884-01-12,Scotland,82.59274609321947
33,1884-02-04,Scotland,82.59274609321947
34,1884-02-16,Scotland,82.85814678927679
35,1884-03-01,Scotland,82.03755588709234
36,1884-04-12,Scotland,82.03755588709234
37,1885-01-03,Scotland,82.03755588709234
38,1885-01-10,Scotland,81.63153006622889
39,1885-02-07,Scotland,81.63153006622889
40,1885-03-07,Scotland,81.90695199839189
41,1886-01-02,Scotland,81.90695199839189
42,1886-01-09,Scotland,82.52674988395754
43,1886-02-06,Scotland,82.52674988395754
44,1886-02-20,Scotland,82.70278226349305
45,1886-03-13,Scotland,83.00260838396846
46,1887-01-08,Scotland,83.00260838396846
47,1887-02-05,Scotland,83.00260838396846
48,1887-02-19,Scotland,83.31843735164999
49,1887-02-26,Scotland,83.81426775712615
50,1887-03-05,Scotland,83.68881619629715
51,1887-03-12,Scotland,83.68881619629715
52,1888-02-04,Scotland,81.97866725768264
53,1888-03-03,Scotland,81.97866725768264
54,1888-03-10,Scotland,82.59725408495174
55,1889-02-02,Scotland,83.05468802668442
56,1889-02-16,Scotland,83.50381409432643
57,1889-03-02,Scotland,83.50381409432643
58,1890-02-01,Scotland,83.72867527169754
59,1890-02-15,Scotland,83.72867527169754
60,1890-02-22,Scotland,84.16166337732487
61,1890-03-01,Scotland,82.84244102036892
62,1890-03-15,Scotland,82.84244102036892
63,1891-01-03,Scotland,82.84244102036892
64,1891-02-07,Scotland,83.24172195207285
65,1891-02-21,Scotland,83.5853709272799
66,1891-03-07,Scotland,84.59124352835987
67,1892-01-02,Scotland,84.59124352835987
68,1892-02-06,Scotland,84.80288798331121
69,1892-02-20,Scotland,84.8371861406468
70,1892-03-05,Scotland,84.8371861406468
71,1892-03-06,Scotland,83.7089874102921
72,1893-01-07,Scotland,83.7089874102921
73,1893-02-04,Scotland,82.06710632098809
74,1893-02-18,Scotland,81.45040553934909
75,1893-03-04,Scotland,82.61543874219996
76,1893-03-11,Scotland,82.61543874219996
77,1894-01-04,Scotland,82.61543874219996
78,1894-02-03,Scotland,81.20662563428962
79,1894-02-24,Scotland,79.83520161626922
80,1894-03-10,Scotland,79.83520161626922
81,1894-03-17,Scotland,80.98816826870409
82,1895-01-05,Scotland,80.98816826870409
83,1895-01-26,Scotland,81.68607052441602
84,1895-02-02,Scotland,81.68607052441602
85,1895-03-02,Scotland,82.42559312918883
86,1895-03-09,Scotland,83.37936824960279
87,1895-03-16,Scotland,83.37936824960279
88,1896-01-04,Scotland,83.37936824960279
89,1896-01-25,Scotland,81.76858061717242
90,1896-02-01,Scotland,81.76858061717242
91,1896-02-15,Scotland,81.46397598791778
92,1896-03-14,Scotland,82.38023893917321
93,1896-03-17,Scotland,82.38023893917321
94,1897-01-09,Scotland,82.38023893917321
95,1897-02-06,Scotland,82.38023893917321
96,1897-02-20,Scotland,83.22864366498008
97,1897-03-13,Scotland,81.67351446458738
98,1898-02-05,Scotland,81.67351446458738
99,1898-02-19,Scotland,82.59991715917226
100,1898-03-12,Scotland,82.17100753549951
101,1898-03-19,Scotland,82.17100753549951
102,1898-04-02,Scotland,82.17100753549951
103,1899-01-07,Scotland,82.17100753549951
104,1899-02-04,Scotland,82.17100753549951
105,1899-02-18,Scotland,80.93905915947452
106,1899-03-04,Scotland,81.91079844634302
107,1899-03-11,Scotland,82.45182026781787
108,1899-03-18,Scotland,82.45182026781787
109,1900-01-06,Scotland,82.45182026781787
110,1900-01-27,Scotland,81.16865117083829
111,1900-02-03,Scotland,81.16865117083829
112,1900-02-24,Scotland,81.08655425491816
113,1900-03-10,Scotland,80.73593567167865
114,1900-03-17,Scotland,80.73593567167865
115,1901-01-05,Scotland,80.73593567167865
116,1901-02-09,Scotland,81.90868715491156
117,1901-02-23,Scotland,82.74399504760767
118,1901-03-09,Scotland,83.12348031709101
119,1901-03-16,Scotland,83.12348031709101
120,1902-01-11,Scotland,83.12348031709101
